Date,Open,High,Low,Close,Volume
1974-03-22,875.5,884.3,868.4,878.1,2690977
1974-03-25,878.1,884.8,866.8,881,2377444
1974-03-26,881,890.2,875.2,883.7,2670677
1974-03-27,883.7,887.8,869.8,871.2,2636842
1974-03-28,867.2,867.2,850.6,854.4,3369925
1974-03-29,854.4,858.6,842.4,846.7,2740602
1974-04-01,846.7,856.4,839.7,843.5,2587218
1974-04-02,843.5,853.2,839.2,846.6,2709023
1974-04-03,846.6,860.5,844.7,858,2593985
1974-04-04,858,865.5,852.3,858.9,2627820
1974-04-05,858.6,858.6,842.5,847.5,2632331
1974-04-08,847.2,847.2,834.3,840,2422556
1974-04-09,840,852.6,836.1,846.8,2555639
1974-04-10,846.8,855.5,840.3,843.7,2517293
1974-04-11,843.7,850,837.8,844.8,2248872
1974-04-15,844.8,852,839.3,843.8,2284962
1974-04-16,845.7,863.6,845.7,861.2,3277444
1974-04-17,861.2,874.5,856.4,867.4,3162406
1974-04-18,867.4,875.9,862.6,869.9,2812782
1974-04-19,868.9,868.9,856.2,859.9,2415789
1974-04-22,859.9,864.3,852.4,858.6,2372932
1974-04-23,858.6,859.5,843.6,846,3182707
1974-04-24,846,847.2,828.2,832.4,3611278
1974-04-25,832.4,835.1,818.7,827.7,3579699
1974-04-26,827.7,841.3,823.2,834.6,2988722
1974-04-29,834.6,839.8,824.7,835.4,2293985
1974-04-30,835.4,844.5,829.6,836.8,2476692
1974-05-01,836.8,861.1,832.8,853.9,3410526
1974-05-02,853.9,865.9,845.9,851.1,3072180
1974-05-03,851.1,852.8,839.9,845.9,2499248
1974-05-06,845.9,847.5,834.3,844.9,2131579
1974-05-07,844.9,855.8,840.5,847.2,2415789
1974-05-08,847.2,856.9,843,851,2672932
1974-05-09,851,870.1,849.2,865.8,3318045
1974-05-10,865.8,870.4,846.8,850.4,3444361
1974-05-13,850.4,854.8,838.7,845.6,2546617
1974-05-14,845.6,856.1,842.3,847.9,2454135
1974-05-15,847.9,853,839.3,846.1,2535338
1974-05-16,846.1,853.4,833.2,835.3,2727068
1974-05-17,833.3,833.3,813.8,818.8,3128571
1974-05-20,818.8,826.2,807.5,812.4,2379699
1974-05-21,812.4,822.7,803,809.5,2749624
1974-05-22,809.5,818.8,800.1,802.6,3484962
1974-05-23,802.6,811.3,796.2,805.2,3331579
1974-05-24,806.2,824.3,806.2,816.7,3099248
1974-05-28,816.7,824.6,809.1,814.3,2386466
1974-05-29,814.3,817.3,793,795.4,2774436
1974-05-30,795.4,808.3,788.8,803.6,3063158
1974-05-31,803.6,808,792.3,802.2,2438346
1974-06-03,802.2,822.4,799.8,821.3,2817293
1974-06-04,821.8,837.1,821.8,828.7,3618045
1974-06-05,828.7,839.4,819.2,830.2,3085714
1974-06-06,830.2,847.5,824.1,845.4,3013534
1974-06-07,845.6,863.3,845.6,853.7,4290226
1974-06-10,853.7,864.6,846.1,859.7,3054135
1974-06-11,859.7,865.5,848.1,852.1,2792481
1974-06-12,852.1,853.8,837.9,848.6,2515038
1974-06-13,848.6,861,843.8,852.1,2603008
1974-06-14,850.7,850.7,837.8,843.1,2262406
1974-06-17,843.1,843.2,829.5,833.2,2183459
1974-06-18,833.2,838.6,826.5,830.3,2280451
1974-06-19,830.3,833.5,821.3,826.1,2379699
1974-06-20,826.1,831.2,818.1,820.8,2704511
1974-06-21,820.8,822.6,810.2,815.4,2668421
1974-06-24,815.4,822.4,808.9,816.3,2246617
1974-06-25,817.7,832.5,817.7,828.9,2688722
1974-06-26,828.9,830.4,815.5,817,2573684
1974-06-27,817,817.3,800.8,803.7,2853383
1974-06-28,803.7,808.2,796.5,802.4,2709023
1974-07-01,802.4,812,797.5,806.2,2316541
1974-07-02,806.2,808.8,788.3,790.7,3036090
1974-07-03,790.7,798.6,785.1,792.9,3029323
1974-07-05,792.9,796.3,786.2,791.8,1669173
1974-07-08,788.4,788.4,765.3,770.6,3498496
1974-07-09,770.6,782.9,764.6,772.3,3514286
1974-07-10,772.3,779.2,759.5,762.1,3042857
1974-07-11,762.1,769.8,753.1,759.6,3302256
1974-07-12,770,790.7,770,787.2,4008271
1974-07-15,787.2,800.9,777.9,786.6,3058647
1974-07-16,785.2,785.2,771.8,776,2237594
1974-07-17,776,788.6,765.8,785,2553383
1974-07-18,785,803,781.5,789.2,3153383
1974-07-19,789.2,796.6,780.4,787.9,2499248
1974-07-22,787.9,795.5,779.5,790.4,2095489
1974-07-23,790.4,805.6,789.8,797.7,2912030
1974-07-24,797.7,809.8,791.5,805.8,2903008
